"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"05/02/2026 07:15 - 05/02/2026 07:30","BZN|DE-LU","73209.69","68146.25"
"05/02/2026 07:30 - 05/02/2026 07:45","BZN|DE-LU","74324.65","69442.09"
"05/02/2026 07:45 - 05/02/2026 08:00","BZN|DE-LU","74971.34","70157.38"
"05/02/2026 08:00 - 05/02/2026 08:15","BZN|DE-LU","75578.63","70757.91"
"05/02/2026 08:15 - 05/02/2026 08:30","BZN|DE-LU","76151.58","70526.76"
"05/02/2026 08:30 - 05/02/2026 08:45","BZN|DE-LU","76747.28","71174.71"
"05/02/2026 08:45 - 05/02/2026 09:00","BZN|DE-LU","77017.75","71454.56"
"05/02/2026 09:00 - 05/02/2026 09:15","BZN|DE-LU","76914.37","71270.76"
"05/02/2026 09:15 - 05/02/2026 09:30","BZN|DE-LU","77317.86","71444.79"
"05/02/2026 09:30 - 05/02/2026 09:45","BZN|DE-LU","77679.78","71828.82"
"05/02/2026 09:45 - 05/02/2026 10:00","BZN|DE-LU","77824.15","71741.24"
"05/02/2026 10:00 - 05/02/2026 10:15","BZN|DE-LU","76787.99","71307.77"
"05/02/2026 10:15 - 05/02/2026 10:30","BZN|DE-LU","76827.84","71460.85"
"05/02/2026 10:30 - 05/02/2026 10:45","BZN|DE-LU","77056.28","72110.86"
"05/02/2026 10:45 - 05/02/2026 11:00","BZN|DE-LU","77589.21","71622.43"
"05/02/2026 11:00 - 05/02/2026 11:15","BZN|DE-LU","77325.27","72010.88"
"05/02/2026 11:15 - 05/02/2026 11:30","BZN|DE-LU","77340.31","72398.83"
"05/02/2026 11:30 - 05/02/2026 11:45","BZN|DE-LU","77339.86","72354.70"
"05/02/2026 11:45 - 05/02/2026 12:00","BZN|DE-LU","77145.76","72239.59"
"05/02/2026 12:00 - 05/02/2026 12:15","BZN|DE-LU","77110.02","71578.13"
"05/02/2026 12:15 - 05/02/2026 12:30","BZN|DE-LU","76309.93","71646.05"
"05/02/2026 12:30 - 05/02/2026 12:45","BZN|DE-LU","76218.06","71279.04"
"05/02/2026 12:45 - 05/02/2026 13:00","BZN|DE-LU","75723.00","71632.47"
"05/02/2026 13:00 - 05/02/2026 13:15","BZN|DE-LU","75288.47","70876.67"
"05/02/2026 13:15 - 05/02/2026 13:30","BZN|DE-LU","74827.26","70758.39"
"05/02/2026 13:30 - 05/02/2026 13:45","BZN|DE-LU","74285.80","69934.06"
"05/02/2026 13:45 - 05/02/2026 14:00","BZN|DE-LU","73650.37","69350.01"
"05/02/2026 14:00 - 05/02/2026 14:15","BZN|DE-LU","73215.33","69275.18"
"05/02/2026 14:15 - 05/02/2026 14:30","BZN|DE-LU","73245.38","68850.85"
"05/02/2026 14:30 - 05/02/2026 14:45","BZN|DE-LU","72646.37","68817.69"
"05/02/2026 14:45 - 05/02/2026 15:00","BZN|DE-LU","72084.58","68501.07"
"05/02/2026 15:00 - 05/02/2026 15:15","BZN|DE-LU","71801.71","68104.72"
"05/02/2026 15:15 - 05/02/2026 15:30","BZN|DE-LU","71556.65","68101.62"
"05/02/2026 15:30 - 05/02/2026 15:45","BZN|DE-LU","71345.83","66751.43"
"05/02/2026 15:45 - 05/02/2026 16:00","BZN|DE-LU","71367.67","67730.51"
"05/02/2026 16:00 - 05/02/2026 16:15","BZN|DE-LU","71711.51","67947.45"
"05/02/2026 16:15 - 05/02/2026 16:30","BZN|DE-LU","71342.65","68373.51"
"05/02/2026 16:30 - 05/02/2026 16:45","BZN|DE-LU","71492.31","68879.15"
"05/02/2026 16:45 - 05/02/2026 17:00","BZN|DE-LU","71406.22","69824.51"
"05/02/2026 17:00 - 05/02/2026 17:15","BZN|DE-LU","72418.50","69216.02"
"05/02/2026 17:15 - 05/02/2026 17:30","BZN|DE-LU","73113.53","70363.05"
"05/02/2026 17:30 - 05/02/2026 17:45","BZN|DE-LU","74141.11","70773.80"
"05/02/2026 17:45 - 05/02/2026 18:00","BZN|DE-LU","74686.42","71444.82"
"05/02/2026 18:00 - 05/02/2026 18:15","BZN|DE-LU","74572.55","71239.40"
"05/02/2026 18:15 - 05/02/2026 18:30","BZN|DE-LU","74913.42","71730.48"
"05/02/2026 18:30 - 05/02/2026 18:45","BZN|DE-LU","74638.21","71961.94"
"05/02/2026 18:45 - 05/02/2026 19:00","BZN|DE-LU","74633.67","72067.42"
"05/02/2026 19:00 - 05/02/2026 19:15","BZN|DE-LU","74196.11","71884.75"
"05/02/2026 19:15 - 05/02/2026 19:30","BZN|DE-LU","73380.05","70719.30"
"05/02/2026 19:30 - 05/02/2026 19:45","BZN|DE-LU","72986.07","70082.68"
"05/02/2026 19:45 - 05/02/2026 20:00","BZN|DE-LU","72525.32","69877.24"
"05/02/2026 20:00 - 05/02/2026 20:15","BZN|DE-LU","71112.12","68011.91"
"05/02/2026 20:15 - 05/02/2026 20:30","BZN|DE-LU","70166.96","67029.70"
"05/02/2026 20:30 - 05/02/2026 20:45","BZN|DE-LU","69089.97","66088.01"
"05/02/2026 20:45 - 05/02/2026 21:00","BZN|DE-LU","68280.16","65185.16"
"05/02/2026 21:00 - 05/02/2026 21:15","BZN|DE-LU","67534.17","64638.11"
"05/02/2026 21:15 - 05/02/2026 21:30","BZN|DE-LU","66635.86","64250.89"
"05/02/2026 21:30 - 05/02/2026 21:45","BZN|DE-LU","66157.56","63274.16"
"05/02/2026 21:45 - 05/02/2026 22:00","BZN|DE-LU","65101.07","62098.75"
"05/02/2026 22:00 - 05/02/2026 22:15","BZN|DE-LU","64487.71","61830.09"
"05/02/2026 22:15 - 05/02/2026 22:30","BZN|DE-LU","63784.76","60862.33"
"05/02/2026 22:30 - 05/02/2026 22:45","BZN|DE-LU","62971.51","59732.85"
"05/02/2026 22:45 - 05/02/2026 23:00","BZN|DE-LU","62283.12","58991.82"
"05/02/2026 23:00 - 05/02/2026 23:15","BZN|DE-LU","60870.30","58214.05"
"05/02/2026 23:15 - 05/02/2026 23:30","BZN|DE-LU","60254.97","57533.62"
"05/02/2026 23:30 - 05/02/2026 23:45","BZN|DE-LU","59487.03","56661.64"
"05/02/2026 23:45 - 06/02/2026 00:00","BZN|DE-LU","59200.09","55741.68"
"06/02/2026 00:00 - 06/02/2026 00:15","BZN|DE-LU","57839.43","55757.98"
"06/02/2026 00:15 - 06/02/2026 00:30","BZN|DE-LU","57179.24","55401.90"
"06/02/2026 00:30 - 06/02/2026 00:45","BZN|DE-LU","56398.24","54893.43"
"06/02/2026 00:45 - 06/02/2026 01:00","BZN|DE-LU","55804.94","54435.28"
"06/02/2026 01:00 - 06/02/2026 01:15","BZN|DE-LU","55396.01","53732.12"
"06/02/2026 01:15 - 06/02/2026 01:30","BZN|DE-LU","54880.33","53528.60"
"06/02/2026 01:30 - 06/02/2026 01:45","BZN|DE-LU","54545.70","53293.32"
"06/02/2026 01:45 - 06/02/2026 02:00","BZN|DE-LU","54226.65","53148.58"
"06/02/2026 02:00 - 06/02/2026 02:15","BZN|DE-LU","53869.94","53032.46"
"06/02/2026 02:15 - 06/02/2026 02:30","BZN|DE-LU","53767.97","52833.35"
"06/02/2026 02:30 - 06/02/2026 02:45","BZN|DE-LU","53456.08","52539.41"
"06/02/2026 02:45 - 06/02/2026 03:00","BZN|DE-LU","53325.14","52601.89"
"06/02/2026 03:00 - 06/02/2026 03:15","BZN|DE-LU","53646.13","52818.98"
"06/02/2026 03:15 - 06/02/2026 03:30","BZN|DE-LU","53367.09","52619.79"
"06/02/2026 03:30 - 06/02/2026 03:45","BZN|DE-LU","53555.21","52829.63"
"06/02/2026 03:45 - 06/02/2026 04:00","BZN|DE-LU","53700.97","53175.62"
"06/02/2026 04:00 - 06/02/2026 04:15","BZN|DE-LU","54104.75","53586.81"
"06/02/2026 04:15 - 06/02/2026 04:30","BZN|DE-LU","54474.27","53687.72"
"06/02/2026 04:30 - 06/02/2026 04:45","BZN|DE-LU","55183.81","54082.14"
"06/02/2026 04:45 - 06/02/2026 05:00","BZN|DE-LU","55562.57","54899.76"
"06/02/2026 05:00 - 06/02/2026 05:15","BZN|DE-LU","57227.01","56287.23"
"06/02/2026 05:15 - 06/02/2026 05:30","BZN|DE-LU","57941.94","57230.03"
"06/02/2026 05:30 - 06/02/2026 05:45","BZN|DE-LU","58703.51","59381.99"
"06/02/2026 05:45 - 06/02/2026 06:00","BZN|DE-LU","60111.63","60672.08"
"06/02/2026 06:00 - 06/02/2026 06:15","BZN|DE-LU","62776.80","62705.36"
"06/02/2026 06:15 - 06/02/2026 06:30","BZN|DE-LU","65032.54","64297.73"
"06/02/2026 06:30 - 06/02/2026 06:45","BZN|DE-LU","66708.53","65897.80"
"06/02/2026 06:45 - 06/02/2026 07:00","BZN|DE-LU","67781.14","66524.25"
"06/02/2026 07:00 - 06/02/2026 07:15","BZN|DE-LU","70001.59","69673.49"
"06/02/2026 07:15 - 06/02/2026 07:30","BZN|DE-LU","71058.50","70793.35"
"06/02/2026 07:30 - 06/02/2026 07:45","BZN|DE-LU","71739.70","71558.35"
"06/02/2026 07:45 - 06/02/2026 08:00","BZN|DE-LU","71754.92","71873.03"
"06/02/2026 08:00 - 06/02/2026 08:15","BZN|DE-LU","73022.56","72540.45"
"06/02/2026 08:15 - 06/02/2026 08:30","BZN|DE-LU","73649.18","72716.30"
"06/02/2026 08:30 - 06/02/2026 08:45","BZN|DE-LU","74119.08","73156.45"
"06/02/2026 08:45 - 06/02/2026 09:00","BZN|DE-LU","73979.98","72792.03"
"06/02/2026 09:00 - 06/02/2026 09:15","BZN|DE-LU","74240.09","72353.28"
"06/02/2026 09:15 - 06/02/2026 09:30","BZN|DE-LU","74490.35","71950.29"
"06/02/2026 09:30 - 06/02/2026 09:45","BZN|DE-LU","74937.73","73208.29"
"06/02/2026 09:45 - 06/02/2026 10:00","BZN|DE-LU","74650.09","72753.74"
"06/02/2026 10:00 - 06/02/2026 10:15","BZN|DE-LU","74365.78","73468.69"
"06/02/2026 10:15 - 06/02/2026 10:30","BZN|DE-LU","74513.40","72494.62"
"06/02/2026 10:30 - 06/02/2026 10:45","BZN|DE-LU","74651.70","73653.89"
"06/02/2026 10:45 - 06/02/2026 11:00","BZN|DE-LU","74795.11","73657.63"
"06/02/2026 11:00 - 06/02/2026 11:15","BZN|DE-LU","74462.99","73794.17"
"06/02/2026 11:15 - 06/02/2026 11:30","BZN|DE-LU","74523.72","74582.78"
"06/02/2026 11:30 - 06/02/2026 11:45","BZN|DE-LU","74282.55","74171.56"
"06/02/2026 11:45 - 06/02/2026 12:00","BZN|DE-LU","74262.35","73981.43"
"06/02/2026 12:00 - 06/02/2026 12:15","BZN|DE-LU","74197.67","74134.16"
"06/02/2026 12:15 - 06/02/2026 12:30","BZN|DE-LU","73906.24","73998.25"
"06/02/2026 12:30 - 06/02/2026 12:45","BZN|DE-LU","73452.92","73626.74"
"06/02/2026 12:45 - 06/02/2026 13:00","BZN|DE-LU","73277.18","73747.74"
"06/02/2026 13:00 - 06/02/2026 13:15","BZN|DE-LU","72803.00","72651.24"
"06/02/2026 13:15 - 06/02/2026 13:30","BZN|DE-LU","72103.59","72693.56"
"06/02/2026 13:30 - 06/02/2026 13:45","BZN|DE-LU","71543.69","71772.09"
"06/02/2026 13:45 - 06/02/2026 14:00","BZN|DE-LU","70936.84","71730.77"
"06/02/2026 14:00 - 06/02/2026 14:15","BZN|DE-LU","70461.78","71908.69"
"06/02/2026 14:15 - 06/02/2026 14:30","BZN|DE-LU","70249.05","71361.96"
"06/02/2026 14:30 - 06/02/2026 14:45","BZN|DE-LU","70030.86","69550.77"
"06/02/2026 14:45 - 06/02/2026 15:00","BZN|DE-LU","69704.83","69676.48"
"06/02/2026 15:00 - 06/02/2026 15:15","BZN|DE-LU","70095.63","69317.92"
"06/02/2026 15:15 - 06/02/2026 15:30","BZN|DE-LU","69569.37","69836.09"
"06/02/2026 15:30 - 06/02/2026 15:45","BZN|DE-LU","69727.62","69645.03"
"06/02/2026 15:45 - 06/02/2026 16:00","BZN|DE-LU","69817.99","68893.02"
"06/02/2026 16:00 - 06/02/2026 16:15","BZN|DE-LU","69666.97","69214.54"
"06/02/2026 16:15 - 06/02/2026 16:30","BZN|DE-LU","69618.72","71767.74"
"06/02/2026 16:30 - 06/02/2026 16:45","BZN|DE-LU","69784.12","71374.24"
"06/02/2026 16:45 - 06/02/2026 17:00","BZN|DE-LU","70160.74","72126.16"
"06/02/2026 17:00 - 06/02/2026 17:15","BZN|DE-LU","70542.79","72038.60"
"06/02/2026 17:15 - 06/02/2026 17:30","BZN|DE-LU","71185.92","72494.11"
"06/02/2026 17:30 - 06/02/2026 17:45","BZN|DE-LU","71838.12","72959.09"
"06/02/2026 17:45 - 06/02/2026 18:00","BZN|DE-LU","72187.81","72853.75"
"06/02/2026 18:00 - 06/02/2026 18:15","BZN|DE-LU","72370.37","72936.63"
"06/02/2026 18:15 - 06/02/2026 18:30","BZN|DE-LU","72356.57","72621.04"
"06/02/2026 18:30 - 06/02/2026 18:45","BZN|DE-LU","72256.06","71899.21"
"06/02/2026 18:45 - 06/02/2026 19:00","BZN|DE-LU","72108.14","71917.41"
"06/02/2026 19:00 - 06/02/2026 19:15","BZN|DE-LU","71423.03","71021.29"
"06/02/2026 19:15 - 06/02/2026 19:30","BZN|DE-LU","70784.00","70757.80"
"06/02/2026 19:30 - 06/02/2026 19:45","BZN|DE-LU","70220.43","70205.27"
"06/02/2026 19:45 - 06/02/2026 20:00","BZN|DE-LU","69881.75","69795.11"
"06/02/2026 20:00 - 06/02/2026 20:15","BZN|DE-LU","67949.60","68636.95"
"06/02/2026 20:15 - 06/02/2026 20:30","BZN|DE-LU","66617.71","67553.60"
"06/02/2026 20:30 - 06/02/2026 20:45","BZN|DE-LU","66010.65","66317.67"
"06/02/2026 20:45 - 06/02/2026 21:00","BZN|DE-LU","65206.20","65324.63"
"06/02/2026 21:00 - 06/02/2026 21:15","BZN|DE-LU","63886.80","64416.50"
"06/02/2026 21:15 - 06/02/2026 21:30","BZN|DE-LU","63159.82","63781.20"
"06/02/2026 21:30 - 06/02/2026 21:45","BZN|DE-LU","62540.71","62558.08"
"06/02/2026 21:45 - 06/02/2026 22:00","BZN|DE-LU","61648.73","61604.20"
"06/02/2026 22:00 - 06/02/2026 22:15","BZN|DE-LU","61515.68","61000.76"
"06/02/2026 22:15 - 06/02/2026 22:30","BZN|DE-LU","60809.17","60381.92"
"06/02/2026 22:30 - 06/02/2026 22:45","BZN|DE-LU","59730.45","59388.08"
"06/02/2026 22:45 - 06/02/2026 23:00","BZN|DE-LU","59012.11","58574.82"
"06/02/2026 23:00 - 06/02/2026 23:15","BZN|DE-LU","58125.11","57532.43"
"06/02/2026 23:15 - 06/02/2026 23:30","BZN|DE-LU","56830.79","56906.94"
"06/02/2026 23:30 - 06/02/2026 23:45","BZN|DE-LU","55842.15","56433.49"
"06/02/2026 23:45 - 07/02/2026 00:00","BZN|DE-LU","55278.24","55634.48"
